,rent,rooms,address,bathroom,parking,area,suburb,street
0,7000,  2  ,"Rua Volta Redonda, 757 - Campo Belo, São Paulo - SP",  5  ,  3  ,  276  ,Campo Belo,"Rua Volta Redonda, 757"
1,1650,  2  ,"Rua Professor Demóstenes Batista Figueira Marques, 10 - Cambuci, São Paulo - SP",  1  ,  1  ,  60  ,Cambuci,"Rua Professor Demóstenes Batista Figueira Marques, 10"
2,2400,  1  ,"Rua Cristiano Viana, 463 - Cerqueira César, São Paulo - SP",  1  ,  1  ,  45  ,Cerqueira César,"Rua Cristiano Viana, 463"
3,1900,  2  ,"Rua Afonso Pena, 560 - Bom Retiro, São Paulo - SP",  1  ,  1  ,  42  ,Bom Retiro,"Rua Afonso Pena, 560"
4,1900,  2  ,"Rua Araquém, 19 - Vila Mascote, São Paulo - SP",  3  ,  1  ,  84  ,Vila Mascote,"Rua Araquém, 19"
5,1900,  1  ,"Rua Adolfo Gordo, 52 - Campos Elíseos, São Paulo - SP",  1  ,  1  ,  37  ,Campos Elíseos,"Rua Adolfo Gordo, 52"
6,3400,  2  ,"Rua Caconde, 310 - Jardim Paulista, São Paulo - SP",  2  ,  1  ,  130  ,Jardim Paulista,"Rua Caconde, 310"
7,3400,  2  ,"Rua Oscar Caravelas, 280 - Sumarezinho, São Paulo - SP",  2  ,  2  ,  88  ,Sumarezinho,"Rua Oscar Caravelas, 280"
8,4200,  2  ,"Rua Helena, 52 - Vila Olímpia, São Paulo - SP",  2  ,  1  ,  60  ,Vila Olímpia,"Rua Helena, 52"
9,2500,  1  ,"Avenida Vereador José Diniz, 3100 - Santo Amaro, São Paulo - SP",  1  ,  1  ,  35  ,Santo Amaro,"Avenida Vereador José Diniz, 3100"
10,1800,  2  ,"Avenida Itaboraí - Bosque da Saúde, São Paulo - SP",  1  ,  1  ,  62  ,Bosque da Saúde,Avenida Itaboraí
11,4574,  3  ,"Rua Viradouro, 96 - Itaim Bibi, São Paulo - SP",  2  ,  1  ,  100  ,Itaim Bibi,"Rua Viradouro, 96"
12,2000,  3  ,"Rua Eli - Vila Maria Baixa, São Paulo - SP",  2  ,  1  ,  73  ,Vila Maria Baixa,Rua Eli
13,4800,  3  ,"Rua Barão de Jaceguai, 1305 - Campo Belo, São Paulo - SP",  3  ,  2  ,  130  ,Campo Belo,"Rua Barão de Jaceguai, 1305"
14,2700,  1  ,"Rua da Consolação, 1515 - Consolação, São Paulo - SP",  1  ,  1  ,  33  ,Consolação,"Rua da Consolação, 1515"
15,5400,  2  ,"Rua Peixoto Gomide, 596 - Jardim Paulista, São Paulo - SP",  2  ,  1  ,  72  ,Jardim Paulista,"Rua Peixoto Gomide, 596"
16,2900,  3  ,"Avenida Moaci, 780 - Planalto Paulista, São Paulo - SP",  3  ,  1  ,  99  ,Planalto Paulista,"Avenida Moaci, 780"
17,1800,  2  ,"Rua Dom Constantino Barradas, 120 - Vila Gumercindo, São Paulo - SP",  2  ,  2  ,  80  ,Vila Gumercindo,"Rua Dom Constantino Barradas, 120"
18,4985,  2  ,"Rua Silva Correia, 125 - Vila Nova Conceição, São Paulo - SP",  3  ,  2  ,  86  ,Vila Nova Conceição,"Rua Silva Correia, 125"
19,2600,  2  ,"Rua Pamplona - Jardim Paulista, São Paulo - SP",  2  ,  1  ,  91  ,Jardim Paulista,Rua Pamplona
20,3800,  1  ,"Pinheiros, São Paulo - SP",  1  ,  1  ,  44  ,SP,"Pinheiros, São Paulo"
21,2500,  2  ,"Rua Judith Zumkeller, 870 - Parque Mandaqui, São Paulo - SP",  1  ,  1  ,  60  ,Parque Mandaqui,"Rua Judith Zumkeller, 870"
22,2950,  2  ,"Rua Padre Carvalho, 68 - Pinheiros, São Paulo - SP",  2  ,  1  ,  60  ,Pinheiros,"Rua Padre Carvalho, 68"
23,10000,  4  ,"Rua Caiubi, 1159 - Perdizes, São Paulo - SP",  5  ,  4  ,  180  ,Perdizes,"Rua Caiubi, 1159"
24,8500,  3  ,"Rua Pelotas, 209 - Vila Mariana, São Paulo - SP",  5  ,  3  ,  142  ,Vila Mariana,"Rua Pelotas, 209"
25,14485,  3  ,"Rua Inajaroba, 17 - Vila Nova Conceição, São Paulo - SP",  5  ,  3  ,  211  ,Vila Nova Conceição,"Rua Inajaroba, 17"
26,1800,  1  ,"Rua dos Caciques - Vila da Saúde, São Paulo - SP",  2  ,  1  ,  37  ,Vila da Saúde,Rua dos Caciques
27,3800,  2  ,"Rua Faustolo, 724 - Lapa, São Paulo - SP",  2  ,  2  ,  64  ,Lapa,"Rua Faustolo, 724"
28,5500,  3  ,"Avenida Padre Pereira de Andrade, 545 - Boaçava, São Paulo - SP",  4  ,  3  ,  165  ,Boaçava,"Avenida Padre Pereira de Andrade, 545"
29,2000,  2  ,"Avenida Doutor Cardoso de Melo - Vila Olímpia, São Paulo - SP",  2  ,  1  ,  70  ,Vila Olímpia,Avenida Doutor Cardoso de Melo
30,2800,  2  ,"Rua João Ramalho, 717 - Perdizes, São Paulo - SP",  2  ,  1  ,  60  ,Perdizes,"Rua João Ramalho, 717"
31,6100,  2  ,"Rua Sansão Alves dos Santos, 343 - Cidade Monções, São Paulo - SP",  2  ,  2  ,  75  ,Cidade Monções,"Rua Sansão Alves dos Santos, 343"
32,2400,  2  ,"Rua Paris, 415 - Sumaré, São Paulo - SP",  2  ,  1  ,  54  ,Sumaré,"Rua Paris, 415"
33,12000,  3  ,"Rua Visconde de Taunay, 627 - Vila Cruzeiro, São Paulo - SP",  5  ,  4  ,  220  ,Vila Cruzeiro,"Rua Visconde de Taunay, 627"
34,3100,  2  ,"Avenida Fagundes Filho - Vila Monte Alegre, São Paulo - SP",  1  ,  2  ,  70  ,Vila Monte Alegre,Avenida Fagundes Filho
35,2800,  2  ,"Rua Martim Francisco, 67 - Santa Cecília, São Paulo - SP",  2  ,  1  ,  50  ,Santa Cecília,"Rua Martim Francisco, 67"
36,2500,  3  ,"Rua Diana, 675 - Perdizes, São Paulo - SP",  1  ,  2  ,  94  ,Perdizes,"Rua Diana, 675"
37,1700,  2  ,"Avenida Santa Catarina, 1531 - Vila Mascote, São Paulo - SP",  1  ,  1  ,  54  ,Vila Mascote,"Avenida Santa Catarina, 1531"
38,1500,  1  ,"Rua Doutor Seng, 152 - Bela Vista, São Paulo - SP",  1  ,  --  ,  36  ,Bela Vista,"Rua Doutor Seng, 152"
39,5500,  2  ,"Rua Henri Dunant, 792 - Santo Amaro, São Paulo - SP",  3  ,  2  ,  78  ,Santo Amaro,"Rua Henri Dunant, 792"
