"sp_limit","atmospheric","lighting","road_surface","road_condition","severity"
60,"Clear","Daylight","Sealed","Dry","Fatal"
110,"Clear","Daylight","Sealed","Dry","Fatal"
60,"Clear","Daylight","Sealed","Wet","Fatal"
80,"Clear","Dawn/Dusk","Sealed","Dry","Fatal"
110,"Clear","Darkness/Not lighted","Sealed","Dry","Fatal"
80,"Clear","Daylight","Sealed","Dry","Fatal"
110,"Clear","Daylight","Sealed","Dry","Fatal"
80,"Clear","Daylight","Sealed","Dry","Fatal"
110,"Clear","Daylight","Sealed","Dry","Fatal"
110,"Clear","Dawn/Dusk","Sealed","Dry","Fatal"
60,"Clear","Daylight","Sealed","Dry","Fatal"
110,"Clear","Daylight","Sealed","Dry","Fatal"
110,"Clear","Darkness/Not lighted","Sealed","Dry","Fatal"
110,"Clear","Daylight","Sealed","Dry","Fatal"
60,"Clear","Dawn/Dusk","Sealed","Dry","Fatal"
110,"Clear","Daylight","Sealed","Dry","Fatal"
80,"Clear","Daylight","Sealed","Dry","Fatal"
60,"Clear","Daylight","Sealed","Dry","Fatal"
60,"Clear","Daylight","Sealed","Dry","Fatal"
80,"Clear","Daylight","Sealed","Dry","Fatal"
110,"Clear","Daylight","Sealed","Dry","Fatal"
80,"Raining","Daylight","Sealed","Wet","Fatal"
70,"Clear","Darkness/Not lighted","Sealed","Wet","Fatal"
50,"Clear","Darkness/Lighted","Sealed","Dry","Fatal"
50,"Clear","Daylight","Sealed","Dry","Fatal"
110,"Clear","Daylight","Sealed","Dry","Fatal"
110,"Clear","Daylight","Sealed","Dry","Fatal"
70,"Raining","Darkness/Not lighted","Sealed","Wet","Fatal"
110,"Clear","Daylight","Sealed","Dry","Fatal"
60,"Clear","Darkness/Lighted","Sealed","Dry","Fatal"
50,"Clear","Darkness/Not lighted","Sealed","Dry","Fatal"
60,"Clear","Dawn/Dusk","Sealed","Dry","Fatal"
80,"Clear","Darkness/Not lighted","Sealed","Wet","Fatal"
50,"Clear","Darkness/Lighted","Sealed","Dry","Fatal"
110,"Clear","Daylight","Sealed","Dry","Fatal"
70,"Clear","Daylight","Sealed","Dry","Fatal"
70,"Clear","Daylight","Sealed","Dry","Fatal"
110,"Clear","Dawn/Dusk","Sealed","Dry","Fatal"
110,"Clear","Daylight","Sealed","Dry","Fatal"
80,"Clear","Daylight","Sealed","Dry","Fatal"
110,"Clear","Daylight","Sealed","Dry","Fatal"
50,"Clear","Daylight","Sealed","Dry","Fatal"
110,"Clear","Darkness/Not lighted","Sealed","Dry","Fatal"
80,"Clear","Daylight","Unsealed","Dry","Fatal"
50,"Clear","Daylight","Sealed","Dry","Fatal"
60,"Clear","Daylight","Sealed","Dry","Fatal"
80,"Clear","Daylight","Sealed","Dry","Fatal"
110,"Clear","Daylight","Unsealed","Dry","Fatal"
110,"Clear","Darkness/Not lighted","Sealed","Dry","Fatal"
110,"Raining","Darkness/Not lighted","Sealed","Wet","Fatal"
110,"Clear","Daylight","Sealed","Dry","Fatal"
80,"Raining","Daylight","Sealed","Wet","Fatal"
50,"Clear","Daylight","Unsealed","Dry","Fatal"
80,"Clear","Daylight","Sealed","Dry","Fatal"
110,"Clear","Daylight","Sealed","Dry","Fatal"
50,"Clear","Darkness/Lighted","Sealed","Dry","Fatal"
110,"Raining","Dawn/Dusk","Sealed","Wet","Fatal"
110,"Clear","Darkness/Not lighted","Sealed","Dry","Fatal"
80,"Clear","Darkness/Lighted","Sealed","Dry","Fatal"
70,"Clear","Dawn/Dusk","Sealed","Dry","Fatal"
80,"Clear","Daylight","Sealed","Dry","Fatal"
50,"Clear","Dawn/Dusk","Sealed","Dry","Fatal"
80,"Clear","Darkness/Not lighted","Sealed","Dry","Fatal"
110,"Clear","Daylight","Sealed","Dry","Fatal"
60,"Clear","Daylight","Sealed","Dry","Fatal"
50,"Clear","Dawn/Dusk","Sealed","Dry","Fatal"
80,"Clear","Daylight","Sealed","Dry","Fatal"
110,"Raining","Darkness/Not lighted","Sealed","Wet","Fatal"
